loc_code,loc_name
loc_0,Alabama
loc_1,Alaska
loc_2,Arizona
loc_3,Arkansas
loc_4,California
loc_5,Colorado
loc_6,Connecticut
loc_7,Delaware
loc_8,District of Columbia
loc_9,Florida
loc_10,Georgia
loc_11,Hawaii
loc_12,Idaho
loc_13,Illinois
loc_14,Indiana
loc_15,Iowa
loc_16,Kansas
loc_17,Kentucky
loc_18,Louisiana
loc_19,Maine
loc_20,Maryland
loc_21,Massachusetts
loc_22,Michigan
loc_23,Minnesota
loc_24,Mississippi
loc_25,Missouri
loc_26,Montana
loc_27,Nebraska
loc_28,Nevada
loc_29,New Hampshire
loc_30,New Jersey
loc_31,New Mexico
loc_32,New York
loc_33,North Carolina
loc_34,North Dakota
loc_35,Ohio
loc_36,Oklahoma
loc_37,Oregon
loc_38,Pennsylvania
loc_39,Rhode Island
loc_40,South Carolina
loc_41,South Dakota
loc_42,Tennessee
loc_43,Texas
loc_44,Utah
loc_45,Vermont
loc_46,Virginia
loc_47,Washington
loc_48,West Virginia
loc_49,Wisconsin
loc_50,Wyoming
